date,time_interval,quantity
1/13/23,18,299
1/13/23,19,276
1/13/23,20,226
1/13/23,21,198
1/13/23,22,109
1/13/23,23,52
1/13/23,24,9
1/14/23,0,16
1/14/23,1,7
1/14/23,2,15
1/14/23,3,13
1/14/23,4,8
1/14/23,5,13
1/14/23,6,21
1/14/23,7,59
1/14/23,8,144
1/14/23,9,263
1/14/23,10,337
1/14/23,11,352
1/14/23,12,381
1/14/23,13,294
1/14/23,14,301
1/14/23,15,313
1/14/23,16,330
1/14/23,17,277
1/14/23,18,270
1/14/23,19,247
1/14/23,20,177
1/14/23,21,124
1/14/23,22,65
1/14/23,23,42
1/14/23,24,8
1/15/23,0,19
1/15/23,1,8
1/15/23,2,12
1/15/23,3,7
1/15/23,4,7
1/15/23,5,17
1/15/23,6,20
1/15/23,7,58
1/15/23,8,141
1/15/23,9,269
1/15/23,10,375
1/15/23,11,397
1/15/23,12,377
1/15/23,13,340
1/15/23,14,315
1/15/23,15,313
1/15/23,16,333
1/15/23,17,356
1/15/23,18,303
1/15/23,19,248
1/15/23,20,222
1/15/23,21,140
1/15/23,22,81
1/15/23,23,39
1/15/23,24,9
1/16/23,0,7
1/16/23,1,11
1/16/23,2,10
1/16/23,3,5
1/16/23,4,3
1/16/23,5,19
1/16/23,6,27
1/16/23,7,99
1/16/23,8,170
1/16/23,9,270
1/16/23,10,365
1/16/23,11,327
1/16/23,12,352
1/16/23,13,291
1/16/23,14,299
1/16/23,15,237
1/16/23,16,274
1/16/23,17,267
1/16/23,18,258
1/16/23,19,266
1/16/23,20,249
1/16/23,21,179
1/16/23,22,86
1/16/23,23,19
1/16/23,24,4
1/17/23,0,5
1/17/23,1,9
1/17/23,2,6
1/17/23,3,5
1/17/23,4,8
1/17/23,5,16
1/17/23,6,39
1/17/23,7,82
1/17/23,8,175
1/17/23,9,289
1/17/23,10,349
1/17/23,11,340
1/17/23,12,309
1/17/23,13,280
1/17/23,14,237
1/17/23,15,240
1/17/23,16,268
1/17/23,17,282
1/17/23,18,293
1/17/23,19,275
1/17/23,20,255
1/17/23,21,162
1/17/23,22,68
1/17/23,23,37
1/17/23,24,10
1/18/23,0,8
1/18/23,1,15
1/18/23,2,4
1/18/23,3,13
1/18/23,4,10
1/18/23,5,19
1/18/23,6,45
1/18/23,7,72
1/18/23,8,212
1/18/23,9,301
1/18/23,10,333
1/18/23,11,354
1/18/23,12,316
1/18/23,13,289
1/18/23,14,273
1/18/23,15,261
1/18/23,16,268
1/18/23,17,276
1/18/23,18,322
1/18/23,19,261
1/18/23,20,240
1/18/23,21,159
1/18/23,22,80
1/18/23,23,36
1/18/23,24,4
1/19/23,0,12
1/19/23,1,11
1/19/23,2,9
1/19/23,3,10
1/19/23,4,6
1/19/23,5,20
1/19/23,6,32
1/19/23,7,81
1/19/23,8,224
1/19/23,9,311
1/19/23,10,369
1/19/23,11,387
1/19/23,12,333
1/19/23,13,289
1/19/23,14,267
1/19/23,15,245
1/19/23,16,268
1/19/23,17,259
1/19/23,18,294
1/19/23,19,308
1/19/23,20,239
1/19/23,21,136
1/19/23,22,74
1/19/23,23,40
1/19/23,24,2
1/20/23,0,12
1/20/23,1,9
1/20/23,2,10
1/20/23,3,7
1/20/23,4,2
1/20/23,5,13
1/20/23,6,43
1/20/23,7,89
1/20/23,8,190
1/20/23,9,324
1/20/23,10,368
1/20/23,11,382
1/20/23,12,349
1/20/23,13,336
1/20/23,14,290
1/20/23,15,270
1/20/23,16,317
1/20/23,17,286
1/20/23,18,314
1/20/23,19,249
1/20/23,20,230
1/20/23,21,167
1/20/23,22,94
1/20/23,23,44
1/20/23,24,9
1/21/23,0,15
1/21/23,1,11
1/21/23,2,13
1/21/23,3,5
1/21/23,4,6
1/21/23,5,19
1/21/23,6,26
1/21/23,7,70
1/21/23,8,175
1/21/23,9,309
1/21/23,10,366
1/21/23,11,377
1/21/23,12,332
1/21/23,13,289
1/21/23,14,294
1/21/23,15,247
1/21/23,16,293
1/21/23,17,273
1/21/23,18,250
1/21/23,19,226
1/21/23,20,183
1/21/23,21,139
1/21/23,22,74
1/21/23,23,48
1/21/23,24,6
1/22/23,0,12
1/22/23,1,8
1/22/23,2,7
1/22/23,3,8
1/22/23,4,9
1/22/23,5,12
1/22/23,6,28
1/22/23,7,72
1/22/23,8,164
1/22/23,9,251
1/22/23,10,352
1/22/23,11,331
1/22/23,12,380
1/22/23,13,332
1/22/23,14,183
1/22/23,15,328
1/22/23,16,79
1/22/23,17,175
1/22/23,18,178
1/22/23,19,6
1/22/23,20,2
1/22/23,21,3
1/22/23,23,32
1/22/23,24,3
1/23/23,0,1
1/23/23,5,1
1/23/23,6,2
1/23/23,7,8
1/23/23,8,23
1/23/23,9,63
1/23/23,10,13
1/23/23,11,71
1/23/23,12,12
1/23/23,13,9
1/23/23,14,5
1/23/23,15,12
1/23/23,16,76
1/23/23,17,230
1/23/23,18,204
1/23/23,19,336
1/23/23,20,258
1/23/23,21,181
1/23/23,22,90
1/23/23,23,33
1/23/23,24,10
1/24/23,0,14
1/24/23,1,15
1/24/23,2,8
1/24/23,3,5
1/24/23,4,6
1/24/23,5,14
1/24/23,6,52
1/24/23,7,109
1/24/23,8,199
1/24/23,9,323
1/24/23,10,140
1/24/23,11,363
1/24/23,12,279
1/24/23,13,270
1/24/23,14,259
1/24/23,15,242
1/24/23,16,235
1/24/23,17,218
1/24/23,18,253
1/24/23,19,261
1/24/23,20,233
1/24/23,21,140
1/24/23,22,81
1/24/23,23,36
1/24/23,24,5
1/25/23,0,14
1/25/23,1,13
1/25/23,2,7
1/25/23,3,5
1/25/23,4,5
1/25/23,5,21
1/25/23,6,44
1/25/23,7,111
1/25/23,8,213
1/25/23,9,330
1/25/23,10,358
1/25/23,11,308
1/25/23,12,325
1/25/23,13,291
1/25/23,14,221
1/25/23,15,262
1/25/23,16,261
1/25/23,17,273
1/25/23,18,286
1/25/23,19,256
1/25/23,20,221
1/25/23,21,159
1/25/23,22,74
1/25/23,23,47
1/25/23,24,5
1/26/23,0,18
1/26/23,1,6
1/26/23,2,9
1/26/23,3,1
1/26/23,4,6
1/26/23,5,15
