date,time_interval,quantity
2023-05-26,2,9.0
2023-05-26,3,12.0
2023-05-26,4,14.0
2023-05-26,5,22.0
2023-05-26,6,56.0
2023-05-26,7,145.0
2023-05-26,8,303.0
2023-05-26,9,345.0
2023-05-26,10,363.0
2023-05-26,11,339.0
2023-05-26,12,352.0
2023-05-26,13,351.0
2023-05-26,14,301.0
2023-05-26,15,252.0
2023-05-26,16,258.0
2023-05-26,17,246.0
2023-05-26,18,271.0
2023-05-26,19,313.0
2023-05-26,20,296.0
2023-05-26,21,234.0
2023-05-26,22,154.0
2023-05-26,23,69.0
2023-05-26,24,6.0
2023-05-27,0,38.0
2023-05-27,1,14.0
2023-05-27,2,10.0
2023-05-27,3,8.0
2023-05-27,4,7.0
2023-05-27,5,15.0
2023-05-27,6,44.0
2023-05-27,7,141.0
2023-05-27,8,230.0
2023-05-27,9,367.0
2023-05-27,10,382.0
2023-05-27,11,388.0
2023-05-27,12,362.0
2023-05-27,13,296.0
2023-05-27,14,274.0
2023-05-27,15,247.0
2023-05-27,16,248.0
2023-05-27,17,254.0
2023-05-27,18,227.0
2023-05-27,19,244.0
2023-05-27,20,209.0
2023-05-27,21,213.0
2023-05-27,22,123.0
2023-05-27,23,52.0
2023-05-27,24,13.0
2023-05-28,0,39.0
2023-05-28,1,21.0
2023-05-28,2,9.0
2023-05-28,3,8.0
2023-05-28,4,2.0
2023-05-28,5,17.0
2023-05-28,6,33.0
2023-05-28,7,96.0
2023-05-28,8,268.0
2023-05-28,9,344.0
2023-05-28,10,423.0
2023-05-28,11,453.0
2023-05-28,12,344.0
2023-05-28,13,218.0
2023-05-28,14,330.0
2023-05-28,15,314.0
2023-05-28,16,312.0
2023-05-28,17,316.0
2023-05-28,18,292.0
2023-05-28,19,316.0
2023-05-28,20,260.0
2023-05-28,21,235.0
2023-05-28,22,119.0
2023-05-28,23,54.0
2023-05-28,24,10.0
2023-05-29,0,25.0
2023-05-29,1,7.0
2023-05-29,2,8.0
2023-05-29,3,7.0
2023-05-29,4,6.0
2023-05-29,5,24.0
2023-05-29,6,51.0
2023-05-29,7,119.0
2023-05-29,8,251.0
2023-05-29,9,374.0
2023-05-29,10,375.0
2023-05-29,11,425.0
2023-05-29,12,352.0
